smiles,vp,logvp
C=O,3890,8.27
CNN,50,3.91
C(=O)O,42.6,3.75
CCl,4300,8.37
CN,2650,7.88
C=CCl,2980,8
CN(C)C,1610,7.38
CC1CO1,538,6.29
CCC(=O)C,90.6,4.51
CC(=O)C=C,83.9,4.43
C=CC(=O)O,3.97,1.38
COC(=O)C=C,86.6,4.46
C1=CC=C(C=C1)[N+](=O)[O-],0.3,-1.2
C1=CC=C(C=C1)CCl,1.23,0.21
C=CC=O,274,5.61
C=CCCl,368,5.91
C=CC#N,109,4.69
C(CN)N,12.1,2.49
C=CCO,25.4,3.23
CC1=CC(=CC=C1)O,0.11,-2.21
C1=CC=C(C=C1)O,0.3513,-1.05
CCCCN,92.9,4.53
CCN(CC)CC,57.07,4.04
CCOC(=O)C,93.2,4.53
C1CN1,213,5.36
CC1=C(C=C(C=C1)N=C=O)N=C=O,0.023,-3.77
C=CC(=O)Cl,93,4.53
FH,917,6.82
OS(=O)(=O)O,0.0000593,-9.73
[N+](=O)(O)[O-],63.1,4.14
P(Cl)(Cl)Cl,120,4.79
ClCl,5830,8.67
OS(=O)(=O)Cl,1,0
C[N+](=O)[O-],35.8,3.58
C1N2CN3CN1CN(C2)C3,0.00061,-7.4
OO,1.97,0.68
C(=C(F)F)(F)F,24500,10.11
BrBr,212,5.36
CC(=C)C=C,550,6.31
C=C(Cl)Cl,227,5.42
FBr(F)(F)(F)F,406,6.01
CCOC=C,515,6.24
C[Si](Cl)Cl,429,6.06
C[Si](Cl)(Cl)Cl,167,5.12
C=C[Si](Cl)(Cl)Cl,65.9,4.19
CC[Si](Cl)(Cl)Cl,47.2,3.85
C[Si](C)(C)C,718,6.58
[Si](Cl)(Cl)(Cl)Cl,236,5.46
C(=O)=O,48300,10.79
N(=O)[O],900,6.8
CO,127,4.84
Br,18410,9.82
C=C,52100,10.86
CCC,0.493,-0.71
C,466000,13.05
C1=CC=CC=C1,94.8,4.55
CC1=CC=CC=C1,28.4,3.35
CCCC,1820,7.51
NN,14.4,2.67
CC(C)OP(=O)(C)F,2.86,1.05
CC(C(C)(C)C)OP(=O)(C)F,0.41,-0.89
CCOP(=O)(C#N)N(C)C,0.07,-2.66
CCSCCCl,3.4,1.22
C(CCl)SCCCl,0.11,-2.21
C(CSCCCl)SCCCl,0.0000035,-12.56
C(CSCCCl)OCCSCCCl,0.000003,-12.72
C(=C/[As](Cl)Cl)\Cl,0.58,-0.54
CCN(CCCl)CCCl,0.25,-1.39
CN(CCCl)CCCl,0.17,-1.77
C(CCl)N(CCCl)CCCl,0.011,-4.51
C(=C(F)F)(C(F)(F)F)C(F)(F)F,1740,7.46
C(=O)(Cl)Cl,1420,7.26
C(#N)Cl,1230,7.11
C#N,742,6.61
C([N+](=O)[O-])(Cl)(Cl)Cl,24,3.18
P,29300,10.29
Cl,35424,10.48
C1CCCCC1,96.9,4.57
COP(=O)(C)OC,0.962,-0.04
CC(=O)NC1=CC=C(C=C1)O,0.0000629,-9.67
CC(=O)OC1=CC=CC=C1C(=O)O,0.0000252,-10.59
C(C(=O)O)NCP(=O)(O)O,0.000000098,-16.14
